

1507530840.033934728  Node Startup
1507531294.542774459 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test74
1507531295.542910386 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test75
1507531296.542613512 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test76
1507531297.542876150 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test77
1507531298.543414754 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test78
1507531299.542652324 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test79
1507531300.543893040 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test80
1507531301.542690370 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test81
1507531302.542913351 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test82
1507531303.542564691 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test83
1507531304.542741637 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test84
1507531305.542938197 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test85
1507531306.542654813 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test86
1507531307.542838951 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test87
1507531308.543376017 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test88
1507531309.543402309 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test89
1507531310.543267063 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test90
1507531311.542717575 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test91
1507531312.542881749 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test92
1507531313.542618867 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test93
1507531314.542620580 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test94
1507531315.543227199 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test95
1507531316.543494183 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test96
