

1507530184.913485550  Node Startup
1507530319.847544038 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test89
1507530320.847968922 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test90
1507530321.847236071 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test91
1507530322.847124686 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test92
1507530323.847872912 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test93
1507530324.847217121 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test94
1507530325.847434519 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test95
1507530326.847825457 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test96
1507530327.848071320 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test97
1507530328.847965941 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test98
1507530329.848039158 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test99
1507530330.847070024 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test100
1507530331.847343657 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test101
1507530332.847811858 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test102
1507530333.846900768 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test103
1507530334.847658115 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test104
1507530335.847569231 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test105
1507530336.847913570 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test106
1507530337.847729035 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test107
1507530338.847204671 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test108
1507530339.847365475 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test109
1507530340.847678635 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test110
1507530341.847963816 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test111
1507530342.847983668 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test112
1507530343.848259298 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test113
1507530344.847663874 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test114
1507530399.950680457 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test2
1507530400.051170278 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test3
1507530400.151130125 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test4
1507530400.251110894 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test5
1507530400.350673571 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test6
1507530400.451132987 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test7
1507530400.550575900 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test8
1507530400.650733334 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test9
1507530400.751242716 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test10
1507530400.850924448 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test11
1507530400.951212289 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test12
1507530401.050948069 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test13
1507530401.150364227 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test14
1507530401.251181988 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test15
1507530401.351177701 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test16
1507530401.451027253 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test17
1507530401.550448815 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test18
1507530401.650520624 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test19
1507530401.750801038 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test20
1507530401.850698132 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test21
1507530401.950797159 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test22
1507530402.050965667 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test23
1507530402.150979948 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test24
1507530402.250837779 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test25
1507530402.351245447 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test26
1507530402.451161916 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test27
1507530402.551137175 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test28
1507530402.651078752 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test29
1507530402.750751411 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test30
1507530402.851244444 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test31
1507530402.950785297 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test32
1507530403.051267644 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test33
1507530403.150637736 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test34
1507530403.250867002 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test35
1507530403.350548580 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test36
1507530403.450617338 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test37
1507530403.550830235 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test38
1507530403.651084062 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test39
1507530403.750267702 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test40
1507530403.850693825 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test41
1507530403.950930538 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test42
1507530404.050961322 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test43
1507530404.151062300 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test44
1507530404.250501025 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test45
1507530404.351271780 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test46
1507530404.450364503 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test47
1507530404.550963706 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test48
1507530404.650823016 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test49
1507530404.750228835 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test50
1507530404.851023930 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test51
1507530404.950980482 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test52
1507530405.050958084 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test53
1507530405.151175401 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test54
1507530405.251028890 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test55
1507530405.351052927 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test56
1507530405.451107964 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test57
1507530405.551356732 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test58
1507530405.650569450 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test59
1507530405.751283866 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test60
1507530405.851190923 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test61
1507530405.950383101 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test62
1507530406.050440128 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test63
1507530406.150803044 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test64
1507530406.250707425 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test65
1507530406.350724749 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test66
1507530406.450552066 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test67
1507530406.550704588 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test68
1507530406.650825016 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test69
1507530406.750769566 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test70
1507530406.850435520 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test71
1507530406.950684152 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test72
